aer,lwratio,box_num,rich_num,temp,vel,inlet_angle,window,old_new,richardson_num
55.39,2,40,ORI,0,0.33,0,Open,old,28.0
53.55,2,40,ORI,0,0.33,45,Open,old,28.0
49.73,2,40,ORI,0,0.33,90,Open,old,28.0
64.34,2,40,ORI,7,0.45,0,Open,old,12.0
49.01,2,40,ORI,7,0.45,45,Open,old,12.0
49.55,2,40,ORI,7,0.45,90,Open,old,12.0
157.4,2,40,URI,22,2.5,0,Open,old,0.198
134.0,2,40,URI,22,2.5,45,Open,old,0.198
52.21,2,40,URI,22,2.5,90,Open,old,0.198
172.2,2,40,URI,30,2.8,0,Open,old,0.078
143.7,2,40,URI,30,2.8,45,Open,old,0.078
40.38,2,40,URI,30,2.8,90,Open,old,0.078
72.83,2,40,ZRI,10,0.85,0,Open,old,3.0
57.16,2,40,ZRI,10,0.85,45,Open,old,3.0
46.53,2,40,ZRI,10,0.85,90,Open,old,3.0
74.95,2,40,ZRI,15,0.97,0,Open,old,1.9
59.77,2,40,ZRI,15,0.97,45,Open,old,1.9
42.99,2,40,ZRI,15,0.97,90,Open,old,1.9
55.39,2,10,ORI,0,0.33,0,Open,old,28.0
53.55,2,10,ORI,0,0.33,45,Open,old,28.0
49.73,2,10,ORI,0,0.33,90,Open,old,28.0
64.34,2,10,ORI,7,0.45,0,Open,old,12.0
49.01,2,10,ORI,7,0.45,45,Open,old,12.0
49.55,2,10,ORI,7,0.45,90,Open,old,12.0
157.4,2,10,URI,22,2.5,0,Open,old,0.198
134.0,2,10,URI,22,2.5,45,Open,old,0.198
52.21,2,10,URI,22,2.5,90,Open,old,0.198
172.2,2,10,URI,30,2.8,0,Open,old,0.078
143.7,2,10,URI,30,2.8,45,Open,old,0.078
40.38,2,10,URI,30,2.8,90,Open,old,0.078
72.83,2,10,ZRI,10,0.85,0,Open,old,3.0
57.16,2,10,ZRI,10,0.85,45,Open,old,3.0
46.53,2,10,ZRI,10,0.85,90,Open,old,3.0
74.95,2,10,ZRI,15,0.97,0,Open,old,1.9
59.77,2,10,ZRI,15,0.97,45,Open,old,1.9
42.99,2,10,ZRI,15,0.97,90,Open,old,1.9
64.72,2,40,ORI,-2,0.25,0,Open,new,51.75
59.4,2,40,ORI,-2,0.25,45,Open,new,51.75
48.39,2,40,ORI,-2,0.25,90,Open,new,51.75
194.0,2,40,URI,32,3.2,0,Open,new,0.0448
163.2,2,40,URI,32,3.2,45,Open,new,0.0448
44.43,2,40,URI,32,3.2,90,Open,new,0.0448
95.21,2,40,ZRI,18,1.4,0,Open,new,0.8
77.54,2,40,ZRI,18,1.4,45,Open,new,0.8
45.47,2,40,ZRI,18,1.4,90,Open,new,0.8
64.72,2,10,ORI,-2,0.25,0,Open,new,51.75
59.4,2,10,ORI,-2,0.25,45,Open,new,51.75
48.39,2,10,ORI,-2,0.25,90,Open,new,51.75
194.0,2,10,URI,32,3.2,0,Open,new,0.0448
163.2,2,10,URI,32,3.2,45,Open,new,0.0448
44.43,2,10,URI,32,3.2,90,Open,new,0.0448
95.21,2,10,ZRI,18,1.4,0,Open,new,0.8
77.54,2,10,ZRI,18,1.4,45,Open,new,0.8
45.47,2,10,ZRI,18,1.4,90,Open,new,0.8
41.19,2,40,ORI,0,0.33,0,OpenDown,old,28.0
34.43,2,40,ORI,0,0.33,45,OpenDown,old,28.0
29.56,2,40,ORI,0,0.33,90,OpenDown,old,28.0
44.44,2,40,ORI,7,0.45,0,OpenDown,old,12.0
32.39,2,40,ORI,7,0.45,45,OpenDown,old,12.0
28.48,2,40,ORI,7,0.45,90,OpenDown,old,12.0
71.85,2,40,URI,22,2.5,0,OpenDown,old,0.198
72.03,2,40,URI,22,2.5,45,OpenDown,old,0.198
44.48,2,40,URI,22,2.5,90,OpenDown,old,0.198
73.28,2,40,URI,30,2.8,0,OpenDown,old,0.078
73.33,2,40,URI,30,2.8,45,OpenDown,old,0.078
35.98,2,40,URI,30,2.8,90,OpenDown,old,0.078
46.04,2,40,ZRI,10,0.85,0,OpenDown,old,3.0
38.75,2,40,ZRI,10,0.85,45,OpenDown,old,3.0
31.28,2,40,ZRI,10,0.85,90,OpenDown,old,3.0
42.14,2,40,ZRI,15,0.97,0,OpenDown,old,1.9
39.69,2,40,ZRI,15,0.97,45,OpenDown,old,1.9
28.9,2,40,ZRI,15,0.97,90,OpenDown,old,1.9
41.19,2,10,ORI,0,0.33,0,OpenDown,old,28.0
34.43,2,10,ORI,0,0.33,45,OpenDown,old,28.0
29.56,2,10,ORI,0,0.33,90,OpenDown,old,28.0
44.44,2,10,ORI,7,0.45,0,OpenDown,old,12.0
32.39,2,10,ORI,7,0.45,45,OpenDown,old,12.0
28.48,2,10,ORI,7,0.45,90,OpenDown,old,12.0
71.85,2,10,URI,22,2.5,0,OpenDown,old,0.198
72.03,2,10,URI,22,2.5,45,OpenDown,old,0.198
44.48,2,10,URI,22,2.5,90,OpenDown,old,0.198
73.28,2,10,URI,30,2.8,0,OpenDown,old,0.078
73.33,2,10,URI,30,2.8,45,OpenDown,old,0.078
35.98,2,10,URI,30,2.8,90,OpenDown,old,0.078
46.04,2,10,ZRI,10,0.85,0,OpenDown,old,3.0
38.75,2,10,ZRI,10,0.85,45,OpenDown,old,3.0
31.28,2,10,ZRI,10,0.85,90,OpenDown,old,3.0
42.14,2,10,ZRI,15,0.97,0,OpenDown,old,1.9
39.69,2,10,ZRI,15,0.97,45,OpenDown,old,1.9
28.9,2,10,ZRI,15,0.97,90,OpenDown,old,1.9
37.46,2,40,ORI,-2,0.25,0,OpenDown,new,51.75
38.58,2,40,ORI,-2,0.25,45,OpenDown,new,51.75
28.97,2,40,ORI,-2,0.25,90,OpenDown,new,51.75
80.88,2,40,URI,32,3.2,0,OpenDown,new,0.0448
81.05,2,40,URI,32,3.2,45,OpenDown,new,0.0448
37.74,2,40,URI,32,3.2,90,OpenDown,new,0.0448
48.62,2,40,ZRI,18,1.4,0,OpenDown,new,0.8
47.42,2,40,ZRI,18,1.4,45,OpenDown,new,0.8
36.41,2,40,ZRI,18,1.4,90,OpenDown,new,0.8
37.46,2,10,ORI,-2,0.25,0,OpenDown,new,51.75
38.58,2,10,ORI,-2,0.25,45,OpenDown,new,51.75
28.97,2,10,ORI,-2,0.25,90,OpenDown,new,51.75
80.88,2,10,URI,32,3.2,0,OpenDown,new,0.0448
81.05,2,10,URI,32,3.2,45,OpenDown,new,0.0448
37.74,2,10,URI,32,3.2,90,OpenDown,new,0.0448
48.62,2,10,ZRI,18,1.4,0,OpenDown,new,0.8
47.42,2,10,ZRI,18,1.4,45,OpenDown,new,0.8
36.41,2,10,ZRI,18,1.4,90,OpenDown,new,0.8
33.41,2,40,ORI,0,0.33,0,OpenUp,old,28.0
30.82,2,40,ORI,0,0.33,45,OpenUp,old,28.0
27.79,2,40,ORI,0,0.33,90,OpenUp,old,28.0
32.95,2,40,ORI,7,0.45,0,OpenUp,old,12.0
27.41,2,40,ORI,7,0.45,45,OpenUp,old,12.0
24.91,2,40,ORI,7,0.45,90,OpenUp,old,12.0
71.46,2,40,URI,22,2.5,0,OpenUp,old,0.198
56.52,2,40,URI,22,2.5,45,OpenUp,old,0.198
33.93,2,40,URI,22,2.5,90,OpenUp,old,0.198
79.27,2,40,URI,30,2.8,0,OpenUp,old,0.078
60.76,2,40,URI,30,2.8,45,OpenUp,old,0.078
30.49,2,40,URI,30,2.8,90,OpenUp,old,0.078
33.38,2,40,ZRI,10,0.85,0,OpenUp,old,3.0
27.88,2,40,ZRI,10,0.85,45,OpenUp,old,3.0
26.51,2,40,ZRI,10,0.85,90,OpenUp,old,3.0
34.87,2,40,ZRI,15,0.97,0,OpenUp,old,1.9
29.92,2,40,ZRI,15,0.97,45,OpenUp,old,1.9
24.93,2,40,ZRI,15,0.97,90,OpenUp,old,1.9
33.41,2,10,ORI,0,0.33,0,OpenUp,old,28.0
30.82,2,10,ORI,0,0.33,45,OpenUp,old,28.0
27.79,2,10,ORI,0,0.33,90,OpenUp,old,28.0
32.95,2,10,ORI,7,0.45,0,OpenUp,old,12.0
27.41,2,10,ORI,7,0.45,45,OpenUp,old,12.0
24.91,2,10,ORI,7,0.45,90,OpenUp,old,12.0
71.46,2,10,URI,22,2.5,0,OpenUp,old,0.198
56.52,2,10,URI,22,2.5,45,OpenUp,old,0.198
33.93,2,10,URI,22,2.5,90,OpenUp,old,0.198
79.27,2,10,URI,30,2.8,0,OpenUp,old,0.078
60.76,2,10,URI,30,2.8,45,OpenUp,old,0.078
30.49,2,10,URI,30,2.8,90,OpenUp,old,0.078
33.38,2,10,ZRI,10,0.85,0,OpenUp,old,3.0
27.88,2,10,ZRI,10,0.85,45,OpenUp,old,3.0
26.51,2,10,ZRI,10,0.85,90,OpenUp,old,3.0
34.87,2,10,ZRI,15,0.97,0,OpenUp,old,1.9
29.92,2,10,ZRI,15,0.97,45,OpenUp,old,1.9
24.93,2,10,ZRI,15,0.97,90,OpenUp,old,1.9
35.02,2,40,ORI,-2,0.25,0,OpenUp,new,51.75
31.15,2,40,ORI,-2,0.25,45,OpenUp,new,51.75
28.53,2,40,ORI,-2,0.25,90,OpenUp,new,51.75
88.14,2,40,URI,32,3.2,0,OpenUp,new,0.0448
68.53,2,40,URI,32,3.2,45,OpenUp,new,0.0448
34.44,2,40,URI,32,3.2,90,OpenUp,new,0.0448
41.84,2,40,ZRI,18,1.4,0,OpenUp,new,0.8
35.83,2,40,ZRI,18,1.4,45,OpenUp,new,0.8
26.34,2,40,ZRI,18,1.4,90,OpenUp,new,0.8
35.02,2,10,ORI,-2,0.25,0,OpenUp,new,51.75
31.15,2,10,ORI,-2,0.25,45,OpenUp,new,51.75
28.53,2,10,ORI,-2,0.25,90,OpenUp,new,51.75
88.14,2,10,URI,32,3.2,0,OpenUp,new,0.0448
68.53,2,10,URI,32,3.2,45,OpenUp,new,0.0448
34.44,2,10,URI,32,3.2,90,OpenUp,new,0.0448
41.84,2,10,ZRI,18,1.4,0,OpenUp,new,0.8
35.83,2,10,ZRI,18,1.4,45,OpenUp,new,0.8
26.34,2,10,ZRI,18,1.4,90,OpenUp,new,0.8
64.13,3,40,ORI,0,0.33,0,Open,old,28.0
52.01,3,40,ORI,0,0.33,45,Open,old,28.0
47.97,3,40,ORI,0,0.33,90,Open,old,28.0
61.95,3,40,ORI,7,0.45,0,Open,old,12.0
47.43,3,40,ORI,7,0.45,45,Open,old,12.0
43.76,3,40,ORI,7,0.45,90,Open,old,12.0
160.1,3,40,URI,22,2.5,0,Open,old,0.198
131.4,3,40,URI,22,2.5,45,Open,old,0.198
47.93,3,40,URI,22,2.5,90,Open,old,0.198
174.9,3,40,URI,30,2.8,0,Open,old,0.078
141.4,3,40,URI,30,2.8,45,Open,old,0.078
37.47,3,40,URI,30,2.8,90,Open,old,0.078
76.83,3,40,ZRI,10,0.85,0,Open,old,3.0
52.87,3,40,ZRI,10,0.85,45,Open,old,3.0
44.71,3,40,ZRI,10,0.85,90,Open,old,3.0
77.14,3,40,ZRI,15,0.97,0,Open,old,1.9
57.39,3,40,ZRI,15,0.97,45,Open,old,1.9
41.36,3,40,ZRI,15,0.97,90,Open,old,1.9
64.13,3,10,ORI,0,0.33,0,Open,old,28.0
52.01,3,10,ORI,0,0.33,45,Open,old,28.0
47.97,3,10,ORI,0,0.33,90,Open,old,28.0
61.95,3,10,ORI,7,0.45,0,Open,old,12.0
47.43,3,10,ORI,7,0.45,45,Open,old,12.0
43.76,3,10,ORI,7,0.45,90,Open,old,12.0
160.1,3,10,URI,22,2.5,0,Open,old,0.198
131.4,3,10,URI,22,2.5,45,Open,old,0.198
47.93,3,10,URI,22,2.5,90,Open,old,0.198
174.9,3,10,URI,30,2.8,0,Open,old,0.078
141.4,3,10,URI,30,2.8,45,Open,old,0.078
37.47,3,10,URI,30,2.8,90,Open,old,0.078
76.83,3,10,ZRI,10,0.85,0,Open,old,3.0
52.87,3,10,ZRI,10,0.85,45,Open,old,3.0
44.71,3,10,ZRI,10,0.85,90,Open,old,3.0
77.14,3,10,ZRI,15,0.97,0,Open,old,1.9
57.39,3,10,ZRI,15,0.97,45,Open,old,1.9
41.36,3,10,ZRI,15,0.97,90,Open,old,1.9
57.56,3,40,ORI,-2,0.25,0,Open,new,51.75
58.53,3,40,ORI,-2,0.25,45,Open,new,51.75
46.15,3,40,ORI,-2,0.25,90,Open,new,51.75
196.3,3,40,URI,32,3.2,0,Open,new,0.0448
157.2,3,40,URI,32,3.2,45,Open,new,0.0448
35.5,3,40,URI,32,3.2,90,Open,new,0.0448
96.9,3,40,ZRI,18,1.4,0,Open,new,0.8
77.82,3,40,ZRI,18,1.4,45,Open,new,0.8
40.98,3,40,ZRI,18,1.4,90,Open,new,0.8
57.56,3,10,ORI,-2,0.25,0,Open,new,51.75
58.53,3,10,ORI,-2,0.25,45,Open,new,51.75
46.15,3,10,ORI,-2,0.25,90,Open,new,51.75
196.3,3,10,URI,32,3.2,0,Open,new,0.0448
157.2,3,10,URI,32,3.2,45,Open,new,0.0448
35.5,3,10,URI,32,3.2,90,Open,new,0.0448
96.9,3,10,ZRI,18,1.4,0,Open,new,0.8
77.82,3,10,ZRI,18,1.4,45,Open,new,0.8
40.98,3,10,ZRI,18,1.4,90,Open,new,0.8
34.94,3,40,ORI,0,0.33,0,OpenDown,old,28.0
31.95,3,40,ORI,0,0.33,45,OpenDown,old,28.0
27.82,3,40,ORI,0,0.33,90,OpenDown,old,28.0
37.59,3,40,ORI,7,0.45,0,OpenDown,old,12.0
31.34,3,40,ORI,7,0.45,45,OpenDown,old,12.0
24.73,3,40,ORI,7,0.45,90,OpenDown,old,12.0
70.29,3,40,URI,22,2.5,0,OpenDown,old,0.198
67.53,3,40,URI,22,2.5,45,OpenDown,old,0.198
36.16,3,40,URI,22,2.5,90,OpenDown,old,0.198
73.11,3,40,URI,30,2.8,0,OpenDown,old,0.078
67.51,3,40,URI,30,2.8,45,OpenDown,old,0.078
36.45,3,40,URI,30,2.8,90,OpenDown,old,0.078
41.69,3,40,ZRI,10,0.85,0,OpenDown,old,3.0
34.78,3,40,ZRI,10,0.85,45,OpenDown,old,3.0
29.06,3,40,ZRI,10,0.85,90,OpenDown,old,3.0
41.8,3,40,ZRI,15,0.97,0,OpenDown,old,1.9
35.72,3,40,ZRI,15,0.97,45,OpenDown,old,1.9
27.19,3,40,ZRI,15,0.97,90,OpenDown,old,1.9
34.94,3,10,ORI,0,0.33,0,OpenDown,old,28.0
31.95,3,10,ORI,0,0.33,45,OpenDown,old,28.0
27.82,3,10,ORI,0,0.33,90,OpenDown,old,28.0
37.59,3,10,ORI,7,0.45,0,OpenDown,old,12.0
31.34,3,10,ORI,7,0.45,45,OpenDown,old,12.0
24.73,3,10,ORI,7,0.45,90,OpenDown,old,12.0
70.29,3,10,URI,22,2.5,0,OpenDown,old,0.198
67.53,3,10,URI,22,2.5,45,OpenDown,old,0.198
36.16,3,10,URI,22,2.5,90,OpenDown,old,0.198
